"","group","piR.hsa.100956","piR.hsa.1288731","piR.hsa.141155","piR.hsa.2499988","piR.hsa.2851799"
"SRR14634358","tumor",5.56430907066881,3.08176481044319,1.84230914292973,2.16558534495767,1.18649220907545
"SRR6757444","tumor",5.54879118558526,3.80790195997143,3.18863284883829,2.57291487979978,1.3989488990023
"TCGA.NK.A5CX.01A.11H.A26V.13","tumor",6.1122270204366,3.38933852674286,2.74812122918505,3.20592363372107,2.37276159084113
"TCGA.34.5234.01A.01T.1634.13","tumor",5.51594479361711,2.526198898627,1.38989179926749,3.57652831956917,1.02238513686385
"SRR14634344","tumor",5.51148961119615,2.72323802586168,3.36787897997682,3.49106848186574,2.33280196758131
"TCGA.43.6143.01A.11H.1819.13","tumor",5.75375825736037,2.57118195375821,2.52796782249347,3.05729136891108,2.0731280380699
"TCGA.55.7726.01A.11H.2169.13","tumor",6.19842310654269,1.94288019894539,1.05925447162872,1.54875812159744,0.981310814594
"SRR6757383","normal",6.50140907710183,3.60818784822642,1.87068429321916,2.27254970416737,1.35582398457374
"TCGA.44.7671.11A.01H.2065.13","normal",6.70753940927497,1.0244040756286,0.599349894922148,0.521069081528114,0.322003073044486
"TCGA.34.8456.11A.01H.2325.13","normal",6.30308261028201,1.41749390524417,0.991375982105676,0.650943737665856,1.52453557212052
"SRR6757392","tumor",4.04519334909327,2.96766633832458,2.00006896759811,2.27126695040784,1.36342840992074
"TCGA.39.5034.01A.01T.1442.13","tumor",4.57606299064416,2.66293948886268,2.54283200187279,3.38449719570434,1.80359490327491
"SRR6757387","normal",6.12194448290533,3.72581330383139,2.1085927336246,2.21718971805888,1.34950468544481
"TCGA.78.7540.01A.11H.2065.13","tumor",6.3354344595849,2.05571698020293,0.83094499064593,0.589970071661092,0.350478520798064
"SRR14634236","normal",6.3181117030351,1.95274707152301,0.805614374806753,0.983365996920984,1.14136748424025
"TCGA.34.5240.01A.01T.1442.13","tumor",5.64523368049884,3.71775005150944,3.50902953198121,4.65199461653088,3.27847234822675
"TCGA.49.4501.01A.01T.1207.13","tumor",5.85222034749435,3.05429053800198,2.05025044050198,3.00030833667347,1.01589267354753
"TCGA.05.4415.01A.22H.1857.13","tumor",6.22125604590882,3.30040158873921,2.59363284062607,3.45137598272278,2.6262108675954
"TCGA.64.1679.01A.21H.2065.13","tumor",4.9278734642302,2.36261032746551,1.22096485605707,1.78500778023267,1.02555570621232
"TCGA.21.1072.01A.01T.1557.13","tumor",5.68198244043372,4.80307536858979,3.65642097248745,3.62595078245692,3.18736515246977
