"","group","piR.hsa.100956","piR.hsa.1288731","piR.hsa.131631","piR.hsa.138412","piR.hsa.141155","piR.hsa.2499988","piR.hsa.2826866","piR.hsa.2826956","piR.hsa.2831324","piR.hsa.2833690","piR.hsa.2838249","piR.hsa.2851625","piR.hsa.2851799"
"SRR14634272","normal",6.20919036731014,1.71197031279439,5.57950730210102,5.11389131790402,1.05957561524575,1.09966310851149,0.776438655274842,0.720957566391554,1.03697311084408,3.46682659582044,0.976600830889028,2.13629281469144,1.14902588587133
"TCGA.44.2656.01A.02T.0947.13","tumor",5.93079788395393,3.74687840146374,5.28870674112569,4.99157381124998,2.18024391720027,2.08418169776323,1.08346481130125,1.00407315046907,2.17350342334773,3.8671210635126,1.91421744710657,3.26318370741179,1.08107795564821
"SRR14634321","tumor",5.23173326873676,2.61957748550106,4.83367574464448,4.6406759468681,2.61178878492836,2.43567072777706,1.69043445575009,1.75438672977968,2.60438541490145,3.61922554429479,2.51310069486667,3.2991490784108,1.35127886701676
"TCGA.94.A5I4.01A.11H.A26V.13","tumor",5.47696829505325,3.04749232135835,4.88524896007899,4.58811603020328,2.66156126983962,3.45378654730061,2.5662031334004,2.55946549875616,2.67941561320043,3.46355717018477,2.4562258881012,2.8597895665909,2.36686904908216
"SRR6757455","normal",6.51025183798314,3.13733370440282,5.54658161779607,5.16733689481844,1.79087099433121,2.29050663438681,1.54495265376447,1.77289587989588,1.79020604110101,3.89092623649523,1.69060018855604,3.09584736229279,1.36207715168064
"TCGA.95.7039.01A.11H.1948.13","tumor",5.63086787687792,3.20897084742438,5.00748287958637,4.71034994971066,1.89000090630321,2.16042253429186,0.660076859556953,0.699659321904914,1.88237812921536,3.58582786616595,1.65823391968309,2.98200143084442,0.749895495285781
"SRR14634347","tumor",5.7835345268329,3.19903534980288,5.6795183298295,5.19782059935835,3.59542818248362,4.03936831466651,2.04275221762534,2.31570129507867,3.65120343525748,3.82995580598604,2.58166246707767,3.49133078330436,2.09791273524373
"TCGA.33.4587.11A.01H.2124.13","normal",6.80194717979854,0.865594893747873,6.22738933836769,5.93025640849198,0.45187194807709,-0.00309969930962628,0.383178921241111,0.308773770444247,0.350200912257747,4.8059336419163,0.0995447553691619,4.2017883344817,-0.390426550363154
"TCGA.78.7161.01A.11H.2038.13","tumor",6.08301455022799,2.03843204059583,5.50525070633494,5.20811777645923,0.752438179556339,0.91411935337993,0.330098264217382,0.461410732022743,0.695760602291304,4.08370659647155,0.455067906457585,3.47970273965893,0.115521862462639
"TCGA.22.4609.11A.01H.2124.13","normal",5.87361500514253,3.00013326854028,5.27936987839168,4.98223694851597,1.9394361449994,2.19988842365864,0.592672285605804,0.973785596925228,1.9610961246745,3.85778219804286,1.73749764194707,3.25384804590696,0.418420604616878
"SRR14634270","normal",6.06328731532309,2.16399310231488,5.32123727324054,4.86501607294865,1.58205448991931,1.45131605550992,0.948917388387414,0.842041982137141,1.6109721736539,3.38208628825108,1.37690764576518,2.48302488645285,1.14136748424025
"SRR6757391","normal",6.53449870818821,3.24511289104308,5.85521784166164,5.33765319093071,1.86472194752807,2.25572950884086,1.28089633366864,1.33308141167473,1.88891832796458,3.89313188916086,1.6822129387483,3.05575800075062,1.35491267024081
"SRR6757441","normal",6.6811416725117,2.72967684281801,5.20327288988835,4.63450359294509,2.79832588201637,2.45945891518796,1.53613173485234,1.52226180217331,2.56087739630345,3.49352584932125,2.35052370989355,3.0450414826785,1.35282692715144
"TCGA.90.7767.11A.01H.2124.13","normal",6.50650469935101,1.48368994491089,5.92819485662153,5.63106192674581,0.999513034325924,1.46477965051048,0.400314679683933,0.40996720456509,0.960358326475775,4.5067100382581,0.725233837066772,3.90261132314174,-0.269050132845999
"SRR14634265","normal",5.96601206624031,2.32618387209201,5.01311926616509,4.66534606568637,1.20608159035126,1.19408850174179,0.800645851290262,0.770748251309848,1.20600638110545,3.37010016137822,1.02085165542681,2.03531495533645,1.16495091174757
"TCGA.66.2755.01A.01T.1557.13","tumor",4.91368453264435,4.06579636897503,4.27410699677747,3.97697406690176,2.6730172639539,2.16992085254314,2.53009536416999,2.55021226211176,2.64484783583067,2.85214586441514,2.41583021604951,2.24880909137359,2.78416945937535
"SRR14634244","normal",5.88250750923775,2.83251989624979,5.33142402933356,5.08830549167877,1.01226845202491,1.27023832080133,0.793113719890973,0.699624264110288,0.971258273955009,4.53718595666166,1.012334010318,3.50264051003901,1.14136748424025
"SRR14634300","normal",6.32140868924338,2.65112725747177,5.6252202810741,5.28137066613698,1.49732146232584,2.37808468007496,1.53336032021539,1.54318549623931,1.43249371134663,3.54859581205914,1.44155296171712,2.99759472123938,1.22460014211709
"TCGA.85.A4CL.01A.41H.A26V.13","tumor",5.53201752638666,2.91795390172039,4.89818023851608,4.60104730864037,1.96082832648835,1.70624637831012,0.980122313760136,0.874613639781063,1.98318835740806,3.47649255533495,1.75973541952008,2.87271838225156,1.12410276821989
